15.98167, 152.5269, 147.8123, 147.0453, 149.2075, 133.1454, 5.8524, 9.97151, 10.41569, 21.98416, 143.1796, 142.0666, 141.6668, 144.2306, 129.5292, 3.425084, 8.474819, 11.07297, 0
15.44675, 152.8232, 148.2714, 147.3523, 149.6246, 133.2274, 5.895414, 10.06507, 10.51492, 21.00314, 143.433, 142.3176, 141.9842, 144.463, 129.6014, 3.498999, 8.488133, 10.99444, 0
14.51043, 152.9203, 148.5171, 147.5323, 149.8937, 132.8692, 5.674782, 9.905499, 10.38307, 20.15151, 143.7996, 142.9715, 142.6703, 145.3223, 130.0293, 3.472825, 8.467216, 11.11041, 0
14.13836, 153.3846, 148.931, 147.8958, 150.2458, 133.0452, 5.819653, 9.942475, 10.36079, 20.4335, 143.7898, 143.31, 142.9117, 145.7834, 129.5208, 3.42537, 8.448059, 11.05435, 0
14.53752, 153.4303, 148.9147, 147.9318, 150.2486, 133.1318, 6.208357, 10.00856, 10.58907, 20.03668, 144.3309, 143.8506, 143.1919, 146.1335, 129.7742, 3.679882, 8.443665, 11.06249, 0
17.39573, 153.5174, 149.0343, 148.0529, 150.4694, 133.0712, 5.810181, 10.01449, 10.66186, 18.9961, 144.6055, 143.9388, 143.5526, 146.3349, 130.4854, 3.49082, 8.206669, 10.668, 0
17.30779, 152.3779, 147.8456, 147.0069, 149.3896, 132.6011, 5.245047, 9.850555, 10.85745, 18.1675, 145.0352, 144.6172, 143.7882, 146.7213, 130.7517, 3.425313, 8.229365, 10.76775, 0
18.51337, 150.4862, 145.7971, 145.378, 147.7943, 131.4665, 4.361882, 9.779155, 10.9282, 18.48122, 144.7356, 144.5789, 143.5024, 146.4995, 131.0449, 3.756557, 8.411881, 11.0847, 0
20.37879, 150.332, 145.9234, 145.5718, 147.9395, 130.725, 4.113136, 10.06523, 10.901, 17.99179, 142.3573, 141.8876, 141.6806, 144.1833, 129.6647, 3.719417, 8.524934, 10.79751, 0
20.57761, 150.9658, 146.7028, 146.1218, 148.5259, 131.0146, 4.346768, 10.17606, 10.99614, 16.98787, 142.1677, 141.8228, 141.6454, 144.243, 130.2062, 3.631031, 8.483598, 10.76874, 0
